referencia,Nombre_Producto,Existencia_MED,Transito,Reservas,Existencia_BOG,Total_Inv,Disponibilidad
01-C4-FP1-SW,(UND) FACEPLATE ONE-GANG SNOW WHITE     ,2,73,2,10,12,10
01-C4-FP1-VB,(UND) FACEPLATE ONE-GANG VENETIAN BRONZE,0,0,0,0,0,0
01-C4-FP1-WH,(UND) FACEPLATE ONE-GANG WHITE          ,38,190,164,1,39,-125
01-C4-FP2-AU,(UND) FACEPLATE TWO-GANG- ALUMINUM      ,3,0,0,0,3,3
01-C4-FP2-BI,(UND) FACEPLATE TWO-GANG BISCUIT,0,0,0,0,0,0
01-C4-FP2-BL,(UND) FACEPLATE TWO-GANG BLACK          ,0,4,0,0,0,0
01-C4-FP2-BR,(UND) FACEPLATE TWO-GANG BROWN,0,0,0,0,0,0
01-C4-FP2-IV,(UND) FACEPLATE TWO-GANG IVORY,0,0,0,0,0,0
01-C4-FP2-LA,(UND) FACEPLATE TWO-GANG LIGHT ALMOND,2,0,0,0,2,2
01-C4-FP2-MB,(UND) FACEPLATE TWO-GANG MIDNIGHT BLACK ,1,17,12,0,1,-11
01-C4-FP2-SN,(UND) FACEPLATE TWO-GANG SATIN NICKEL,0,0,0,0,0,0
01-C4-FP2-SW,(UND) FACEPLATE TWO-GANG SNOW WHITE     ,1,18,7,0,1,-6
01-C4-FP2-VB,(UND) FACEPLATE TWO-GANG VENETIAN BRONZE,0,0,0,0,0,0
01-C4-FP2-WH,(UND) FACEPLATE TWO-GANG WHITE          ,0,63,35,0,0,-35
01-C4-FP3-AU,(UND) FACEPLATE THREE-GANG ALUMINUM     ,3,0,0,0,3,3
01-C4-FP3-BI,(UND) FACEPLATE THREE-GANG BISCUIT,0,0,0,0,0,0
01-C4-FP3-BL,(UND) FACEPLATE THREE-GANG BLACK        ,0,4,2,0,0,-2
01-C4-FP3-BR,(UND) FACEPLATE THREE-GANG BROWN,1,0,0,0,1,1
01-C4-FP3-IV,(UND) FACEPLATE THREE-GANG IVORY,0,0,0,0,0,0
01-C4-FP3-LA,(UND) FACEPLATE THREE-GANG LIGHT ALMOND,0,0,0,0,0,0
01-C4-FP3-MB,(UND) FACEPLATE THREE-GANG MIDNIGHT BLAC,1,7,4,0,1,-3
01-C4-FP3-SN,(UND) FACEPLATE THREE-GANG SATIN NICKEL       ,0,0,0,0,0,0
01-C4-FP3-SS,(UND) FACEPLATE THREE-GANG STAINLESS STE,3,0,0,0,3,3
01-C4-FP3-SW,(UND) FACEPLATE THREE-GANG SNOW WHITE   ,0,8,2,0,0,-2
01-C4-FP3-VB,(UND) FACEPLATE THREE-GANG VENETIAN BRONZ,0,0,0,0,0,0
01-C4-FP3-WH,(UND) FACEPLATE THREE-GANG WHITE        ,4,15,9,0,4,-5
01-C4-FP4-AU,(UND) FACEPLATE FOUR-GANG ALUMINUM            ,6,0,0,0,6,6
01-C4-FP4-BL,(UND) FACEPLATE FOUR-GANG BLACK,0,0,0,0,0,0
01-C4-FP4-BR,(UND) FACEPLATE FOUR-GANG BROWN,1,0,0,0,1,1
01-C4-FP4-MB,(UND) FACEPLATE FOUR-GANG MIDNIGHT BLACK,0,0,0,0,0,0
01-C4-FP4-SN,(UND) FACEPLATE FOUR-GANG SATIN NICKEL        ,0,0,0,0,0,0
01-C4-FP4-SW,(UND) FACEPLATE FOUR-GANG SNOW WHITE    ,1,0,0,1,2,2
01-C4-FP4-WH,(UND) FACEPLATE FOUR-GANG WHITE         ,2,1,1,0,2,1
01-C4-FPD120-AU,(UND) FORWARD PHASE DIMMER 120V ALUMINUM,4,0,0,0,4,4
01-C4-FPD120-BI,(UND) FORWARD PHASE DIMMER 120 BI       ,8,0,0,0,8,8
01-C4-FPD120-BL,(UND) FORWARD PHASE DIMMER 120V BLACK,2,0,0,0,2,2
01-C4-FPD120-BR,(UND) FORWARD PHASE DIMMER 120V BROW,9,0,0,0,9,9
01-C4-FPD120-C-WH,(UND) FORWARD PHASE DIMMER COMTEMP WH   ,0,0,0,0,0,0
01-C4-FPD120-IV,(UND) FORWARD PHASE DIMMER 120V IVORY,0,0,0,0,0,0
01-C4-FPD120-LA,(UND) FORWARD PHASE DIMMER 120V LIGHT ALMOND,0,0,0,0,0,0
01-C4-FPD120-MB,(UND) FORWARD PHASE DIMMER 120V MIDNIGHT BLACK,0,3,2,0,0,-2
01-C4-FPD120-SW,(UND) FORWARD PHASE DIMMER 120V SNOW WHI,0,10,1,0,0,-1
01-C4-FPD120-WH,(UND) FORWARD PHASE DIMMER 120V WHITE   ,0,32,44,0,0,-44
01-C4-INTERCOM,(UND) INFINITY EDGE LICENSE FOR INTE,1,0,0,0,1,1
01-C4-IOX-V2,(UND) IO EXTENDER V2                    ,1,1,0,0,1,1
01-C4-KA-AU,(UND) AUXILIARY KEYPAD 120V-277V ALUMINUM     ,0,0,0,0,0,0
01-C4-KA-BI,(UND) AUXILIARY KEYPAD 120V-277V BISCUIT,0,0,0,0,0,0
01-C4-KA-BL,(UND) AUXILIARY KEYPAD 120V-277V BLACK,0,0,0,0,0,0
01-C4-KA-LA,(UND) AUXILIARY KEYPAD 120V-277V LIGHT ALMOND ,0,0,0,0,0,0
01-C4-KA-MB,(UND) AUXILIARY KEYPAD 120V-277V MIDNIGHT BLACK,0,0,0,0,0,0
01-C4-KA-SW,(UND) AUXILIARY KEYPAD 120V-277V SNOW WH,0,9,4,0,0,-4
01-C4-KA-WH,(UND) AUXILIARY KEYPAD 120V-277V WHITE  ,6,22,28,0,6,-22
01-C4-KC120277-BL,"(UND) CONFIGURABLE KEYPAD, 120V/277V BLACK",0,10,6,0,0,-6
01-C4-KC120277-MB,"(UND) CONFIGURABLE KEYPAD, 120V/277V MB       ",0,5,9,0,0,-9
01-C4-KC120277-SW,"(UND) CONFIGURABLE KEYPAD, 120V/277V SNO",0,0,0,0,0,0
01-C4-KC120277-WH,"(UND) CONFIGURABLE KEYPAD, 120V/277V WHI",2,0,0,0,2,2
01-C4-KCB-AU,(UND) BOTONERA CABLEADA ALUMINIO        ,0,0,0,0,0,0
01-C4-KCB-BL,(UND) WIRED KEYPAD WITH CONFIGURABLE BLACK,0,0,0,0,0,0
01-C4-KCB-C-MB,(UND) WIRED KEYPAD WITH CONTEMPORARY    ,0,0,1,0,0,-1
01-C4-KCB-MB,(UND) WIRED KEYPAD WITH CONFIGURABLE M. BL,0,0,0,0,0,0
01-C4-KCB-SW,(UND) WIRED KEYPAD WITH CONFIGURABLE SNOW WHITE,0,0,0,0,0,0
01-C4-KCB-WH,(UND) WIRED KEYPAD WITH CONFIGURABLE WH,0,2,2,0,0,-2
01-C4-KD120-AU,(UND) KEYPAD DIMMER 120V AU                   ,0,0,0,0,0,0
01-C4-KD120-BL,(UND) KEYPAD DIMMER 120V BL,6,0,5,0,6,1
01-C4-KD120-BR,(UND) KEYPAD DIMMER 120V BROWN,0,0,0,0,0,0
01-C4-KD120-LA,(UND) KEYPAD DIMMER 120V LIGHT ALMOND         ,0,0,0,0,0,0
01-C4-KD120-MB,(UND) KEYPAD DIMMER 120V MIDNIGHT BLACK ,2,26,15,0,2,-13
01-C4-KD120-SW,(UND) KEYPAD DIMMER 120V SNOW WHITE     ,0,20,15,0,0,-15
01-C4-KD120-WH,(UND) KEYPAD DIMMER 120V WH             ,0,105,91,0,0,-91
01-C4-KPTK1-M-B,"(UND) KEYPAD TABLETOP KIT, BL           ",0,0,0,0,0,0
01-C4-KPTK1-M-W,"(UND) KEYPAD TABLETOP KIT, WH           ",1,0,0,0,1,1
01-C4-KSDB-Z-SN,(UND) CERRADURA KWIKSET SMARTLOCK 910         ,0,0,0,0,0,0
01-C4-LD120V,(UND) DEMOKIT PANTALLA ILUMINACIÓN INTEL,0,0,0,0,0,0
01-C4-LDEMOKC-WH,(UND) WIRELESS CONFIGURABLE KEYPAD D,4,0,0,0,4,4
01-C4-LOZ-5D1-W,(UND) WIRELESS OUTLET DIMMER                  ,0,0,0,0,0,0
01-C4-LOZ-5S1-W,(UND) WIRELESS OUTLET SWITCH            ,0,0,0,0,0,0
01-C4-LU1082D,(UND) MATRIX 4K ULTRA HD 10X10                ,0,0,0,0,0,0
01-C4-LU1E,(UND) RECEIVER 4K ULTRAHD BASET               ,0,0,0,0,0,0
01-C4-LU642D,(UND) CONMUTADOR DE MATRIZ 6X6 CON AUDIO,0,0,0,0,0,0
01-C4-LU862,(UND) SWITCH 8X8 4K ULTRA HD                  ,0,0,0,0,0,0
01-C4-MSW-10PK-BL,(PAQ) SUICHE MECANICO 120 AC 15A        ,0,0,0,0,0,0
01-C4-MSW-10PK-SW,(PAQ) SUICHE MECANICO 120 AC 15A        ,0,0,0,0,0,0
01-C4-MSW-10PK-WH,(PAQ) SUICHE MECANICO 120 AC 15A        ,0,0,0,0,0,0
01-C4-MYHOME-SITE-E,(UND) MYHOME - SITE LICENSE                   ,0,0,0,0,0,0
01-C4-NE-RMT-AS,(UND) CONTROL REMOTO NEEO               ,0,8,3,0,0,-3
01-C4-NE-RMT-BL,(UND) CONTROL REMOTO NEEO               ,0,21,18,0,0,-18
01-C4-NWB57C-P,(UND) PLASTIC NEW CONSTRUCTOR INFINI          ,0,5,0,0,0,0
01-C4-OS2,(UND) 2.0 UPGRADE LICENSE,0,0,0,0,0,0
01-C4-P20,(UND) PROTECCION ELECTRICA 20 PUERTOS AD,0,0,0,0,0,0
01-C4-RBATT-150,(UND) BATTERY AND COVER,0,0,0,0,0,0
01-C4-RBATT-250,(UND) BATERÍA PARA CONTROLES SR-250 Y SR,0,16,0,4,4,4
01-C4-RT-3100,(UND) ROUTER CON BAKPAK GIGABIT 1  WAN 4,0,0,0,0,0,0
01-C4-RWB57C-P,(UND) CAJA PLASTICA DE EMPOTRAR PANTALLA,3,6,3,0,3,0
01-C4-RWB7C-P,(UND) PLASTIC RETROFIT TOUCH SCREEN,3,0,0,0,3,3
01-C4-SB10P-AU,(PAQ10) BARRA DE KD120 CON PILOTO SENSO,2,0,0,0,2,2
01-C4-SB10P-BL,(PAQ10) BARRA DE KD120 CON PILOTO SENSO,0,0,0,0,0,0
01-C4-SB10P-LA,(PAQ10) BARRA DE KD120 CON PILOTO SENSO,0,0,0,0,0,0
01-C4-SB10P-MB,(PAQ10) BARRA DE KD120 CON PILOTO SENSO ,1,0,0,0,1,1
01-C4-SB10P-SW,(PAQ10) BARRA DE KD120 CON PILOTO SENSO ,1,0,0,0,1,1
01-C4-SB10P-WH,(PAQ10) BARRA DE KD120 CON PILOTO     ,0,0,0,0,0,0
01-C4-SBC5P-BL,(PAQ) BOTONES ARRIBA Y ABAJO            ,0,0,0,0,0,0
01-C4-SBC5P-MB,(PAQ) BOTONES ARRIBA Y ABAJO            ,0,0,0,0,0,0
01-C4-SBC5P-SW,(PAQ) BOTONES ARRIBA Y ABAJO            ,3,0,0,0,3,3
01-C4-SBC5P-WH,(PAQ) BOTONES ARRIBA Y ABAJO            ,0,0,0,0,0,0
01-C4-SE-26,(UND) SWITCH GIGABIT DE 26 PUERTOS NO ADMINIST,1,0,0,1,2,2
01-C4-SE-USB1-EP,(UND) CONMUTADOR NO ADMINISTRADO DE 3 PU,0,0,0,0,0,0
01-C4-SFP1-SW-1,(UND) SQUARE FACEPLATE PLASTIC SNOW WHITE     ,14,0,0,0,14,14
01-C4-SFP1-WH-1,(UND) SQUARE FACEPLATE PLASTIC,0,0,0,0,0,0
01-C4-SR150B-Z-B,(UND) SYSTEM REMOTE CONTROL SR-150,0,0,0,0,0,0
01-C4-SR150RS-B,"(UND) RECHARGING STATION, BATTERY AN          ",0,0,0,0,0,0
01-C4-SR150RSK-B,(UND) REMOTE AND RECHARGING STATION           ,0,0,0,0,0,0
01-C4-SR260,(UND) CONTROL REMOTO RF                 ,31,0,4,19,50,46
01-C4-SR260RSK-B,(UND) CONTROL REMOTO RF CON ESTACIÓN DE ,0,0,11,0,0,-11
01-C4-SRRS,(UND) ESTACIÓN DE RECARGA PARA CONTROL S,1,14,0,6,7,7
01-C4-SW1-Z-WH,(UND) SWITCH INALAMBRICO CONTROL4 REFURBISHED ,0,0,0,0,0,0
01-C4-T4IW10-BL,"(UND) PANTALLA FIJA DE PARED 10"" BLACK  ",0,11,7,0,0,-7
01-C4-T4IW10-WH,"(UND) PANTALLA FIJA DE PARED 10"" WHITE  ",0,5,3,0,0,-3
01-C4-T4IW8-BL,"(UND) PANTALLA FIJA DE PARED 8"" BLACK   ",0,69,63,0,0,-63
01-C4-T4IW8-WH,"(UND) PANTALLA FIJA DE PARED 8"" WHITE   ",0,5,3,0,0,-3
01-C4-T4T10-BL,"(UND) PANTALLA PORTABLE 10"" NEGRA       ",3,0,0,1,4,4
01-C4-T4T10-WH,"(UND) PANTALLA PORTABLE 10"" BLANCA      ",1,0,0,0,1,1
01-C4-T4T8-WH,"(UND) PANTALLA PORTABLE 8"" BLANCA       ",1,1,0,0,1,1
01-C4-TDIM1-Z-B,"(UND) WIRELESS ELV DIMMER, BLACK 600",0,0,0,0,0,0
01-C4-TDIM1-Z-W,"(UND) WIRELESS ELV DIMMER, WHITE 600",0,0,0,0,0,0
01-C4-THERM-WH,(UND) TERMOSTATO INALAMBRICO WH         ,0,6,3,0,0,-3
01-C4-TS-AMP1RM,(UND) RACK PARA AMPLIFICADOR TRIAD      ,0,0,0,0,0,0
01-C4-TS-IC32SD,"(UND) INCEILING 4"" DISTRIBUTED AUDIO SER",0,0,0,0,0,0
01-C4-TS-IC52,"(UND) INCEILING 5"" - DISTRIBUTED AUDIO S",0,0,0,0,0,0
01-C4-TS-IC53,"(UND) INCEILING 5"" - DISTRIBUTED AUDIO S",0,0,0,0,0,0
01-C4-TS-IC61,"(UND) INCEILING 6½"" - DISTRIBUTED AUDIO ",0,100,68,0,0,-68
01-C4-TS-IC62,"(UND) INCEILING 6½"" - DISTRIBUTED AUDIO ",0,13,4,0,0,-4
01-C4-TS-IC63,"(UND) INCEILING 6½"" - DISTRIBUTED AUDIO ",0,8,0,0,0,0
01-C4-TS-IC82,"(UND) INCEILING 8"" - DISTRIBUTED AUDIO S",0,10,2,0,0,-2
01-C4-TS-IC82DT,"(UND) INCEILING 8"" DT-DISTRIBUTED AUDIO ",3,2,1,0,3,2
01-C4-TS-IC83,"(UND) INCEILING 8"" - DISTRIBUTED AUDIO S",2,7,0,0,2,2
01-C4-TS-IC83DT,"(UND) INCEILING 8"" DT- DISTRIBUTED AUDIO",0,1,0,0,0,0
01-C4-TS-IW61,"(UND) INWALL 6½""DISTRIBUTED AUDIO SERIE1",0,2,0,0,0,0
01-C4-TS-IW62,"(UND) INWALL 6½""DISTRIBUTED AUDIO SERIE2",0,0,0,0,0,0
01-C4-TS-IW63,"(UND) INWALL 6½""DISTRIBUTED AUDIO SERIE3",2,0,0,0,2,2
01-C4-TS-IW82,"(UND) INWALL 8"" DISTRIBUTED AUDIO SERIE2",1,0,0,0,1,1
01-C4-TS-IW83,"(UND) INWALL 8"" DISTRIBUTED AUDIO SERIE3",6,0,0,0,6,6
01-C4-TSWMC5-EG-BL,"(UND) 5"" INFINITY EDGE TOUCH SCREEN           ",0,0,0,0,0,0
01-C4-TT10-BL,"(UND) (NEGRO) PANTALLA PORTABLE 10""     ",1,0,1,0,1,0
01-C4-TT10-WH,"(UND) (BLANCO) PANTALLA PORTABLE 10""    ",1,0,0,0,1,1
01-C4-TT7-1-RD,"(UND) (ROJO) PANTALLA PORTABLE 7""             ",0,0,0,0,0,0
01-C4-TT7-BL,"(UND) (NEGRO) PANTALLA PORTABLE 7""      ",0,0,1,1,1,0
01-C4-TT7-WH,"(UND) (BLANCO) PANTALLA PORTABLE 7""     ",0,0,1,1,1,0
01-C4-TUN2-EB,(UND) MULTI TUNNER V2,1,0,0,0,1,1
01-C4-V-AUX-WH,(UND) ESSENTIAL AUXILIARY KEYPAD WHITE  ,0,49,12,0,0,-12
01-C4-V-CKAUX-BL,"(UND) COLOR KIT, ESSENTIAL LIGHTING AUX ",2,8,7,0,2,-5
01-C4-V-CKAUX-LA,"(UND) COLOR KIT, ESSENTIAL LIGHTING AUX ",0,0,0,0,0,0
01-C4-V-CKAUX-SW,"(UND) COLOR KIT, ESSENTIAL LIGHTING AUX ",5,0,0,0,5,5
01-C4-V-CKAUX-WH,"(UND) COLOR KIT, ESSENTIAL LIGHTING AUX ",0,0,0,0,0,0
01-C4-V-CKFPD-BL,"(UND) COLOR KIT, ESSENTIAL LIGHTING FORW",9,16,16,0,9,-7
01-C4-V-CKFPD-LA,"(UND) COLOR KIT, ESSENTIAL LIGHTING FORW",0,0,0,0,0,0
01-C4-V-CKFPD-SW,"(UND) COLOR KIT, ESSENTIAL LIGHTING FORW",0,0,0,0,0,0
01-C4-V-CKFPD-WH,"(UND) COLOR KIT, ESSENTIAL LIGHTING FORW",1,0,0,0,1,1
01-C4-V-CKSWITCH-BL,"(UND) BUTTON COLOR KIT, ESSENTIAL SWITCH",4,37,35,0,4,-31
01-C4-V-CKSWITCH-LA,"(UND) BUTTON COLOR KIT, ESSENTIAL SWITCH",0,0,0,0,0,0
01-C4-V-CKSWITCH-SW,"(UND) BUTTON COLOR KIT, ESSENTIAL SWITCH",0,0,0,0,0,0
01-C4-V-CKSWITCH-WH,"(UND) BUTTON COLOR KIT, ESSENTIAL SWITCH",2,0,0,0,2,2
01-C4-VDB-E-ACC,(UND) ACCESORIO PARA VIDEO PORTERO POE  ,0,1,1,0,0,-1
01-C4-VDB-JBOX,(UND) CAJA DE CONEXIONES PARA VIDEO PORT,0,1,1,0,0,-1
01-C4-V-FPD120-WH,(UND) ESSENTIAL FORWARD PHASE DIMMER 120,0,360,222,0,0,-222
01-C4-V-ODIM120-WH,(UND) WIRELESS PLUG IN DIMMER WHITE     ,1,1,0,0,1,1
01-C4-V-OSW120-WH,(UND) WIRELESS PLUG IN SWITCH WHITE     ,0,160,147,0,0,-147
01-C4-V-SW120277-WH,"(UND) CONTROL ESSENTIAL SWITCH, 120V WH ",16,218,132,0,16,-116
01-C4-WA-4200,(PAQ) ACCESS POINT WAVE 2 INT 4X4       ,0,0,0,0,0,0
01-C4-WALL10-BL,"(UND) 10"" PANTALLA FIJA DE PARED BL     ",0,0,0,0,0,0
01-C4-WALL7-BL,"(UND) 7"" PANTALLA FIJA DE PARED BL      ",0,0,0,0,0,0
01-C4-WMEA1,(UND) SOPORTE DE PARE PARA EA1          ,0,0,0,0,0,0
01-C4-WP1-AL,(UND) WALL PLATE-1 GANG ALMOND,71,0,0,0,71,71
01-C4-WP1-BL,(UND) WALL PLATE-1 GANG BLACK,96,0,0,10,106,106
01-C4-WP1-WH,(UND) WALL PALTE-1 GANG WHITE           ,0,0,0,0,0,0
01-C4-WP2-BL,(UND) WALL PALTE-2 GANG BLACK,18,0,0,0,18,18
01-C4-WP2-WH,(UND) WALL PLATE-2 GANG WHITE,0,0,0,0,0,0
01-C4-WP3-BL,(UND) WALL PALTE-3 GANG BLACK,28,0,0,0,28,28
01-C4-WP3-WH,(UND) WALL PLATE-3 GANG WHITE,2,0,0,0,2,2
01-C4-WP4-BL,(UND) WALL PLATE-4 GANG BLACK,7,0,0,0,7,7
01-C4-Z2C-5PK,(PAQ) CONTACT SENSOR(BATTERY POW) ZIGBEE,0,0,0,0,0,0
01-C4-Z2IO,(UND) CARD ACCESS ZIGBEE IO             ,3,21,5,0,3,-2
01-C4-Z2IO-5PK,(PAQ) CARD ACCESS ZIGBEE IO             ,0,0,1,0,0,-1
01-C4-ZWDUSB,(UND) DONGLE USB TO ZWAVE               ,1,0,0,0,1,1
01-CCZ-T1-W,(UND) WIRELESS THERMOSTAT WH       ,0,0,0,0,0,0
01-CK-CAM-BU832,(UND) CAMARA IP TIPO BALA DE ALTA DEFINICION  ,0,0,0,0,0,0
01-CK-CAM-IN302,(UND) CAMARA IP DOMO PARA INTERIORES          ,0,0,0,0,0,0
01-DOORBIRD-DRIVER,(UND) LICENCIA DOORBIRD PARA CONTROL4         ,0,0,0,0,0,0
01-DS2BB,(UND) CAJA PARA MONTAJE DE VIDEOPORTERO DS2DS2,1,0,0,0,1,1
01-FC-LC-LC-SM-150M,(UND) PAKEDGE 150M CABLE PVC DE CONEXIÓN FIBRA,0,0,0,0,0,0
01-FC-LC-LC-SM-1M,(UND) PAKEDGE 1M CABLE PVC DE CONEXIÓN FIB ÓPT,0,0,0,0,0,0
01-FM-10G-LR-01,(UND) CABLE PAKEDGE PVC DE FIBRA ÓPTICA       ,2,0,2,0,2,0
01-FM-1G-SM-01,(UND) PAKEDGE MODULO SPF DE FIBRA 1G          ,0,0,0,0,0,0
01-HOMEBRIDGE-DRIVER,(UND) LICENCIA HOMEBRIDGE HOUSELOGIX          ,0,0,0,0,0,0
01-IFTTT-MAKER,(UND) DRIVER PARA INTEGRACION CON GOOGLE HOME ,0,0,0,0,0,0
01-MODULO-ZBEE,(UND) MODULO ZIGBEE PARA REAL LIVING    ,0,1,0,0,0,0
01-MS-2416,(UND) SWITCH PAKEDGE 24 PUERTOS 16 POE  ,0,0,0,0,0,0
01-MULTILINK,(UND) CONTROLADOR DE SEÑALES IR Y RF    ,44,50,26,0,44,18
01-NCZ-3011,(UND) NYCE CONTROL DOOR/WINDOW CONTA    ,0,0,0,1,1,1
01-NCZ-3041,(UND) NYCE CONTROL MOTION SENSOR        ,1,0,0,1,2,2
01-NCZ-3043,(UND) NYCE CONTROL CEILING MOTION SE    ,0,2,1,0,0,-1
01-NCZ-3201,(UND) CONTROL DE ACCESO INALAMBRICO           ,0,0,0,0,0,0
01-NCZ-3202-4,(UND) NYCE CONTROL 4-BUTTON KEYFOB,0,0,0,0,0,0
01-NK1-CP1,(UND) CONTROLADOR INALAMBRICO- 15 ACCESS,0,0,0,0,0,0
01-ONWALL-LCR 3.0-BL,(UND) BARRA SONIDO NANO LCR 33006-2003-1,0,0,0,0,0,0
01-P2,(UND) 2-OUTLET INTELLIGENT PDU                ,1,0,0,0,1,1
01-PE-09N,(UND) POWERPAK PAKEDGE DE 9 SALIDAS     ,1,0,0,1,2,2
01-PE-LIC-CP2,(UND) ACTUALI DE NK1-CP2 SUBIR A 30 WAPS,0,0,0,0,0,0
01-PE-PCNA-KIT,(PAQ) KIT CERTIFICACION PAKEDGE               ,0,0,0,0,0,0
01-PI-05,(UND) INYECTOR POE PARA  PAKEDGE PoE / P,0,0,0,0,0,0
01-PI-30AT,(UND) GIGABIT SINGLE PORT POE + INJECTOR,0,0,0,0,0,0
01-RE-2,(UND) ROUTER MULTIMEDIA 5 PUERTOS+ZONAS PAKEDG,0,0,0,0,0,0
01-RK-1,(UND) ROUTER MULTIMEDIA 7 PUERTOS       ,0,0,1,1,1,0
01-RPK-TSWMCX-PS,(UND) POWER SUPPLY BOX IN-WALL TOUCH SCREENS  ,0,0,0,0,0,0
01-S3L-24P,(UND) SWITCH SERIE S3 - 3 LITE 24 PUERTOS     ,0,0,0,0,0,0
01-SE-18,(UND) SWITCHE PAKEDGE 16 PUERTOS NO ADMI,0,1,0,0,0,0
01-SE-5-EP,(UND) SWITCH PAKEDGE 5 PUERTOS                ,0,0,0,0,0,0
01-SE-8,(UND) SWITCH PAKEDGE 8 PUERTOS NO ADMINI,0,0,1,4,4,3
01-SE-8-EP,(UND) SWITCHE PAKEDGE 8 PUERTOS NO ADMINISTRAB,0,0,0,0,0,0
01-SE-8-P,(UND) PACKEDGE SWITCHE 8 PUERTOS NO ADMIN+ POE,0,0,0,0,0,0
01-SE-8P2-EPA,(UND) SWITCH 8 PUERTOS NO ADMINISTRABLE       ,0,0,0,0,0,0
01-SE-8P4,(UND) SWITCH 8 PUERTOS 4 POE+4 REAR           ,0,0,0,0,0,0
01-SW120277-AU,(UND) SWITCH 120V/277V ALUMINUM               ,0,0,0,0,0,0
01-SW120277-BI,(UND) (BEIGE) SWITCH (120V/277V)              ,0,0,0,0,0,0
01-SW120277-BL,"(UND) SWITCH, 120V/277V BLACK",0,0,0,0,0,0
01-SW120277-BR,(UND) SWITCH 120V/277V BROWN,0,0,0,0,0,0
01-SW120277-LA,(UND) SWITCH 120V/277V LIGHT ALMOND           ,0,0,0,0,0,0
01-SW120277-MB,(UND) SWITCH 120V/277V MIDNIGHT BLACK,0,24,25,1,1,-24
01-SW120277-SW,"(UND) SWITCH, 120V/277V SNOW WHITE      ",4,29,18,0,4,-14
01-SW120277-WH,"(UND) SWITCH, 120V/277V WHITE           ",2,31,17,0,2,-15
01-SX-24,(UND) SWITCH 24 PUERTOS                       ,0,0,0,0,0,0
01-SX-24P,(UND) SWITCH PAKEDGE 24 PUERTOS - 12 O 24 POE ,0,0,0,0,0,0
01-SX-24P8,(UND) SWITCH 24 PUERTOS ADMINISTRABLE         ,0,0,0,0,0,0
01-SX-8-EP,(UND) SWITCH PAKEDGE 8 PUERTOS ADMINISTRABLE  ,0,0,0,0,0,0
01-SX-8P,(UND) SWITCHE POE 8 PUERTOS REAR              ,0,0,0,0,0,0
01-TS-AMS24,(UND) MATRIZ TRIAD 24 ZONAS             ,0,0,0,0,0,0
01-TS-AMS8,(UND) MATRIZ 8 ZONAS TRIAD              ,0,0,0,0,0,0
01-TS-AMS8-V2,(UND) MATRIZ DE AUDIO 8 ZONAS TRIAD V2  ,1,3,2,0,1,-1
01-TS-BKT-SBTV,(UND) TRIAD SOUNDBAR TV MOUNTING BRACKET,0,0,0,0,0,0
01-TS-PAMP1-200,(UND) AMPLIFICADOR TRIAD 1 ZONA ALTA POT,0,0,0,0,0,0
01-TS-PAMP4-100,(UND) AMPLIFICADOR TRIAD 4 ZONAS 8 CANALES    ,0,3,0,0,0,0
01-TS-PAMP8-100,(UND) AMPLIFICADOR 8 ZONAS 16 CANALES TR,0,3,2,0,0,-2
01-TS-SAMP1-100-BL,(UND) AMPLIFICADOR STREAMING TRIAD ONE N,0,66,64,0,0,-64
01-TS-SAMP1-100-WH,(UND) AMPLIFICADOR STREAMING TRIAD ONE B,0,5,1,0,0,-1
01-TV120277-BI,"(UND) 0-10V DIMMER, 120V/277V BI        ",0,0,0,0,0,0
01-TV120277-BL,"(UND) 0-10V DIMMER, 120V/277V BL        ",3,0,0,0,3,3
01-TV120277-MB,"(UND) 0-10V DIMMER, 120V/277V MIDNIGHT B",0,0,4,0,0,-4
01-TV120277-SW,"(UND) 0-10V DIMMER, 120V/277V SNOW WHITE",5,4,8,0,5,-3
01-TV120277-WH,"(UND) 0-10V DIMMER, 120V/277V WHITE     ",0,0,0,0,0,0
01-VDB-E-BL,(UND) VIDEO PORTERO POE BLACK           ,1,2,1,0,1,0
01-VDB-E-SN,(UND) VIDEO PORTERO POE SATIN NIQUEL    ,2,0,0,0,2,2
01-VDB-W-BL,(UND) VIDEO PORTERO WIFI BLACK          ,2,0,0,0,2,2
01-VDB-W-SN,(UND) VIDEO PORTERO WIFI SATIN NIQUEL   ,2,0,0,0,2,2
01-WA-2200,(UND) ACCESS POINT 2 BANDAS INT 2X2 MU-M,0,0,0,0,0,0
01-WA-2200-O,(UND) ACCESS POINT 2X2 WAVE 2 OUTDOOR   ,0,0,1,1,1,0
01-WK-1-B,(UND) ACCESS POINT INTER 2 BANDAS 2X2 AN,1,0,0,0,1,1
01-WR-1,(UND) ROUTER PAKEDGE                    ,1,114,103,0,1,-102
01-WX-1,(UND) AP SU-MIMO DUAL BAND 2.4-5 Ghz BP lite  ,0,0,0,0,0,0
01-WX-1-C,(UND) PUNTO DE ACCESO INALAMBRICO PARA TECHO  ,0,0,0,0,0,0
01-YRLD210ZB0BP,(UND) YALE DEADBOLT KEYPAD-ZIGBEE,2,0,0,0,2,2
01-YRLD210ZB619,(UND) YALE DEADBOLT KEYPAD-ZIGBEE ,0,0,0,0,0,0
01-YRLD220ZB619,(UND) YALE DEADBOLT TOUCH SCREEN ZIB    ,0,1,0,0,0,0
