referencia,Nombre_Producto,Existencia_MED,Transito,Reservas,Existencia_BOG,Total_Inv,Disponibilidad
01-C4-C-APD120-WH,(UND) ADAPTIVE COMTEMPOR PHASE DIMMER WH,5,5,0,0,5,5
01-C4-CBL3.5-DB9,(UND) HC-200 3.5MM TO DB9 SERIAL CAB    ,0,0,0,2,2,2
01-C4-CBLIR-BULK,(PAQ) IR EMMITTERS - 5 PACK             ,0,5,0,0,0,0
01-C4-CBLIRF-BULK,(UND) IR EMMITERS WITH FEEDBACK 5 PACK  ,0,0,0,0,0,0
01-C4-C-CKFPDAPD-AU,(UND) COLOR KIT COMTEMPOR DECORA FORW AU,6,0,0,0,6,6
01-C4-C-CKFPDAPD-BL,(UND) COLOR KIT COMTEMPOR DECORA FORW BL,10,0,0,0,10,10
01-C4-C-CKFPDAPD-BR,(UND) COLOR KIT COMTEMPOR DECORA FORW BR,10,0,0,0,10,10
01-C4-C-CKFPDAPD-GR,(UND) COLOR KIT COMTEMPOR DECORA FORW GR,30,0,0,0,30,30
01-C4-C-CKFPDAPD-MB,(UND) COLOR KIT COMTEMPOR DECORA FORW MB,20,0,0,0,20,20
01-C4-C-CKKA-AU,(UND) COLOR KIT COMTEMP DECOR AUX KEY AU,2,0,0,0,2,2
01-C4-C-CKKA-BL,(UND) COLOR KIT COMTEMP DECOR AUX BL    ,2,0,0,0,2,2
01-C4-C-CKKA-BR,(UND) COLOR KIT COMTEMP DECOR AUX KEY BR,2,0,0,0,2,2
01-C4-C-CKKA-GR,(UND) COLOR KIT COMTEMP DECOR AUX KEY GR,4,0,0,0,4,4
01-C4-C-CKKA-MB,(UND) COLOR KIT COMTEMP DECOR AUX KEY MB,6,0,0,0,6,6
01-C4-C-CKKD-AU,(UND) COLOR KIT COMTEMP DECOR KEY DIM AU,6,0,0,0,6,6
01-C4-C-CKKD-BL,(UND) COLOR KIT COMTEMP DECOR KEY DIM BL,6,0,0,0,6,6
01-C4-C-CKKD-BR,(UND) COLOR KIT COMTEMP DECOR KEY DIM BR,6,0,0,0,6,6
01-C4-C-CKKD-GR,(UND) COLOR KIT COMTEMP DECOR KEY DIM GR,6,0,0,0,6,6
01-C4-C-CKKD-MB,(UND) COLOR KIT COMTEMP DECOR KEY DIM MB,3,0,0,0,3,3
01-C4-C-CKKD-SW,(UND) COLOR KIT COMTEMP DECOR KEY DIM SW,7,0,0,0,7,7
01-C4-C-FP1-AU,(UND) FACEPLATE COMTEMPORARY ONE-GANG AL,4,0,0,0,4,4
01-C4-C-FP1-BL,(UND) FACEPLATE COMTEMPORARY ONE-GANG BL,6,0,22,0,6,-16
01-C4-C-FP1-BR,(UND) FACEPLATE COMTEMPORARY ONE-GANG BR,4,0,0,0,4,4
01-C4-C-FP1-GR,(UND) FACEPLATE COMTEMPORARY ONE-GANG GR,20,0,0,0,20,20
01-C4-C-FP1-MB,(UND) FACEPLATE COMTEMPORARY ONE-GANG MB,17,25,26,0,17,-9
01-C4-C-FP1-SW,(UND) FACEPLATE COMTEMPORARY ONE-GANG SW,40,0,0,10,50,50
01-C4-C-FP1-WH,(UND) FACEPLATE COMTEMPORARY ONE-GANG WH,17,42,17,10,27,10
01-C4-C-FP2-AU,(UND) FACEPLATE COMTEMPORARY TWO-GANG AL,4,0,0,0,4,4
01-C4-C-FP2-BI,(UND) FACEPLATE COMTEMPORARY TWO-GANG BI,4,0,0,0,4,4
01-C4-C-FP2-BL,(UND) FACEPLATE COMTEMPORARY TWO-GANG BL,4,0,0,0,4,4
01-C4-C-FP2-BR,(UND) FACEPLATE COMTEMPORARY TWO-GANG BR,6,0,0,0,6,6
01-C4-C-FP2-GR,(UND) FACEPLATE COMTEMPORARY TWO-GANG GR,4,0,0,0,4,4
01-C4-C-FP2-MB,(UND) FACEPLATE COMTEMPORARY TWO-GANG MB,6,2,2,0,6,4
01-C4-C-FP2-SW,(UND) FACEPLATE COMTEMPORARY TWO-GANG SW,0,12,0,0,0,0
01-C4-C-FP2-WH,(UND) FACEPLATE COMTEMPORARY TWO-GANG WH,2,25,0,0,2,2
01-C4-C-FP3-AU,(UND) FACEPLATE COMTEMPORA TRHEE-GANG AU,2,0,0,0,2,2
01-C4-C-FP3-BL,(UND) FACEPLATE COMTEMPORARY TRHEE-GANG ,0,2,0,0,0,0
01-C4-C-FP3-GR,(UND) FACEPLATE COMTEMPORARY TRHEE-GANG ,4,0,0,0,4,4
01-C4-C-FP3-MB,(UND) FACEPLATE COMTEMPORARY TRHEE-GANG ,4,0,0,0,4,4
01-C4-C-FP3-SW,(UND) FACEPLATE COMTEMPORARY TRHEE-GANG ,6,0,0,0,6,6
01-C4-C-FP3-WH,(UND) FACEPLATE COMTEMPORARY TRHEE-GANG ,0,10,0,0,0,0
01-C4-C-FPD120-MB,(UND) FORWARD COMTEMPOR PHASE DIMMER MB ,0,5,5,0,0,-5
01-C4-C-FPD120-SW,(UND) FORWARD COMTEMPOR PHASE DIMMER SW ,18,40,0,0,18,18
01-C4-C-FPD120-WH,(UND) FORWARD PHASE DIMMER COMTEMP WH   ,0,60,0,0,0,0
01-C4-CHE-XXX,(UND) COMPOSER END USER HOME EDITION          ,1,0,1,0,1,0
01-C4-CK2BKP-BL,"(UND) BUTTON COLOR KIT, 2 BUTTON KEY BL",8,0,0,0,8,8
01-C4-CK2BKP-WH,"(UND) BUTTON COLOR KIT, 2 WHITE KEYP WH",1,0,0,0,1,1
01-C4-CK3BKP-BL,"(UND) BUTTON COLOR KIT, 3 BUTTON KEY BL",9,0,0,0,9,9
01-C4-CK3BKP-WH,"(UND) BUTTON COLOR KIT, 3 BUTTON KEY WH",6,0,0,0,6,6
01-C4-CK4SF-MB,(UND) CONTROLADOR VELOCIDAD DE VENTILADO,0,0,0,0,0,0
01-C4-CK6BKP-BL,"(UND) BUTTON COLOR KIT, 6 BUTTON KEY BL",2,0,0,0,2,2
01-C4-C-KA-BI,(UND)  CONTEMPORARY AUXILIARY KEY 120 BI,0,0,0,0,0,0
01-C4-C-KA-SW,(UND) AUXILIARY KEYPAD COMTEMPOR SW     ,0,6,0,0,0,0
01-C4-C-KA-WH,(UND) AUXILIARY KEYPAD COMTEMPOR 120V WH,0,10,3,0,0,-3
01-C4-C-KC120277-SW,(UND) CONFIGURAB KEYPAD COMTEMP 120V SW ,1,2,0,0,1,1
01-C4-C-KC120277-WH,(UND) CONFIGURAB KEYPAD COMTEMP 120V WH ,1,3,0,0,1,1
01-C4-C-KD120-BI,(UND) COMTEMPORARY KEYPAD DIMMER 120V BI,6,0,0,0,6,6
01-C4-C-KD120-GR,(UND) KEYPAD DIMMER COMTEMPORARY 120V GR,4,0,0,0,4,4
01-C4-C-KD120-MB,(UND) KEYPAD DIMMER COMTEMPORARY 120V MB,2,11,11,0,2,-9
01-C4-C-KD120-SW,(UND) KEYPAD DIMMER COMTEMPORARY 120V SW,8,13,0,3,11,11
01-C4-C-KD120-WH,(UND) KEYPAD DIMMER COMTEMPORARY 120V WH,32,24,30,0,32,2
01-C4-CKDIM-AL,(UND) BUTTON COLOR KIT DIMMER ALMOND,69,0,0,0,69,69
01-C4-CKDIM-BL,(UND) BUTTON COLOR KIT DIMMER BL,0,0,0,0,0,0
01-C4-CKFPDAPD-AU,"(UND) COLOR KIT, DECORA FORWARD ALUMINUM",0,0,0,0,0,0
01-C4-CKFPDAPD-BI,"(UND) COLOR KIT, DECORA FORWARD BISCUIT",2,0,0,0,2,2
01-C4-CKFPDAPD-BL,"(UND) COLOR KIT, DECORA FORWARD BL",0,4,0,0,0,0
01-C4-CKFPDAPD-BR,"(UND) COLOR KIT, DECORA FORWARD BROWN",1,0,0,0,1,1
01-C4-CKFPDAPD-IV,"(UND) COLOR KIT, DECORA FORWARD IVORY",0,0,0,0,0,0
01-C4-CKFPDAPD-LA,"(UND) COLOR KIT, DECORA FORWARD LIGHT ALMOND",0,0,0,0,0,0
01-C4-CKFPDAPD-MB,"(UND) COLOR KIT, DECORA FORWARD MIDNIGHT BLACK",11,10,16,0,11,-5
01-C4-CKFPDAPD-SW,"(UND) COLOR KIT, DECORA FORWARD SNOW WHITE    ",0,10,2,0,0,-2
01-C4-CKFPDAPD-WH,"(UND) COLOR KIT, DECORA FORWARD WH",0,25,2,0,0,-2
01-C4-CKKA-AU,(UND) COLOR KIT DECORA AUXILIARY KEY ALUMINUM,2,0,0,0,2,2
01-C4-CKKA-BI,(UND) COLOR KIT DECORA AUXILIARY KEY BISCUIT,5,0,0,0,5,5
01-C4-CKKA-BL,(UND) COLOR KIT DECORA AUXILIARY KEY BLACK,5,0,0,0,5,5
01-C4-CKKA-BR,(UND) COLOR KIT DECORA AUXILIARY KEY BROWN,0,0,0,0,0,0
01-C4-CKKA-IV,(UND) COLOR KIT DECORA AUXILIARY KEY IVORY    ,1,0,0,0,1,1
01-C4-CKKA-LA,(UND) COLOR KIT DECORA AUXILIARY KEY LIGHT ALMOND ,4,0,0,0,4,4
01-C4-CKKA-MB,"(UND) COLOR KIT, DECORA AUXILIARY KEY MIDNIGHT",26,0,0,18,44,44
01-C4-CKKA-SW,"(UND) COLOR KIT, DECORA AUXILIARY KEY SNOW WHITE",6,0,0,3,9,9
01-C4-CKKA-WH,"(UND) COLOR KIT, DECORA AUXILIARY KEY WHITE   ",7,0,0,7,14,14
01-C4-CKKC-AU,(UND) COLOR KIT DECORA CONFIGURABLE ALUMINUM,0,0,0,0,0,0
01-C4-CKKC-BI,(UND) COLOR KIT DECORA CONFIGURABLE BISCUIT,0,0,0,0,0,0
01-C4-CKKC-BL,"(UND) COLOR KIT, DECORA CONFIGURABLE BLACK",0,0,5,0,0,-5
01-C4-CKKC-BR,(UND) COLOR KIT DECORA CONFIGURABLE BROWN,6,0,0,0,6,6
01-C4-CKKC-MB,"(UND) COLOR KIT, DECORA CONFIGURABLE MIDNIGHT ",1,0,0,4,5,5
01-C4-CKKC-SW,"(UND) COLOR KIT, DECORA CONFIGURABLE SNOW WHITE",4,0,0,15,19,19
01-C4-CKKC-WH,"(UND) COLOR KIT, DECORA CONFIGURABLE WHITE",8,0,0,4,12,12
01-C4-CKKD-AU,"(UND) COLOR KIT, DECORA KEYPAD DIMMER   ",5,0,0,0,5,5
01-C4-CKKD-BL,"(UND) COLOR KIT, DECORA KEYPAD DIMMER BLACK",7,0,0,0,7,7
01-C4-CKKD-BR,"(UND) COLOR KIT, DECORA KEYPAD DIMMER BROWN   ",12,0,0,0,12,12
01-C4-CKKD-LA,"(UND) COLOR KIT, DECORA KEYPAD DIMMER LA",4,0,0,0,4,4
01-C4-CKKD-MB,"(UND) COLOR KIT, DECORA KEYPAD DIMMER MIDNIGHT",3,0,4,0,3,-1
01-C4-CKKD-SW,"(UND) COLOR KIT, DECORA KEYPAD DIMMER SNOW WHITE",10,0,0,7,17,17
01-C4-CKKD-WH,"(UND) COLOR KIT, DECORA KEYPAD DIMMER WHITE   ",0,0,0,3,3,3
01-C4-CKSW1-BL,(UND) BUTTON COLOR KIT SWITCH BLACK     ,21,0,0,0,21,21
01-C4-CKSWITCH-AU,"(UND) COLOR KIT, DECORA SWITCHES ALUMINIUM    ",3,0,0,0,3,3
01-C4-CKSWITCH-BI,"(UND) COLOR KIT, DECORA SWITCHES BEIGE        ",11,0,0,0,11,11
01-C4-CKSWITCH-BL,"(UND) COLOR KIT, DECORA SWITCHES BLACK",0,0,0,0,0,0
01-C4-CKSWITCH-BR,"(UND) COLOR KIT, DECORA SWITCHES BROWN        ",27,0,0,0,27,27
01-C4-CKSWITCH-IV,(UND) COLOR KIT DECORA SWITCHES IVORY   ,0,0,0,0,0,0
01-C4-CKSWITCH-MB,"(UND) COLOR KIT, DECORA SWITCHES MIDNIGHT BLAC",7,0,0,1,8,8
01-C4-CKSWITCH-SW,"(UND) COLOR KIT, DECORA SWITCHES SNOW WHITE",5,0,0,0,5,5
01-C4-CKSWITCH-WH,"(UND) COLOR KIT, DECORA SWITCHES WHITE        ",0,0,1,0,0,-1
01-C4-C-SW120277-MB,(UND) SWITCH COMTEMPORARY 120V- 277V SW ,0,0,5,0,0,-5
01-C4-C-SW120277-SW,(UND) SWITCH COMTEMPORARY 120V- 277V SW ,10,17,17,0,10,-7
01-C4-C-SW120277-WH,(UND) SWITCH COMTEMPORARY 120V- 277V WH ,10,19,3,0,10,7
01-C4-C-TV120277-BI,"(UND) 0-10V DIMMER, 120V/277V COMTEMP BI",0,0,0,0,0,0
01-C4-C-TV120277-SW,"(UND) 0-10V DIMMER, 120V/277V COMTEMP SW",0,2,0,0,0,0
01-C4-C-TV120277-WH,"(UND) 0-10V DIMMER, 120V/277V COMTEMP WH",0,8,4,0,0,-4
01-C4-DEMOKIT,"(UND) DEALER DEMO KIT, 120 VOLT MODE",0,0,0,0,0,0
01-C4-DEMO-LB-DECORA,(UND) LIBRO DE MUESTRA FIT & FINISH (DECORA)  ,0,0,0,0,0,0
01-C4-DIM1-Z-BL,(UND) WIRELESS DIMMER BLACK 1000 WAT,3,0,0,0,3,3
01-C4-DIN-2PAN,(UND) 2-SLOT PANEL,2,1,3,0,2,-1
01-C4-DIN-5PAN,(UND) 5-SLOT PANEL                      ,0,1,0,0,0,0
01-C4-DIN-8APD-E,(UND) PHASE DIMMER 8 CHANNEL WITH RAIL  ,0,5,4,0,0,-4
01-C4-DIN-8DIM-E,(UND) 8-CHANNEL DIMMER                        ,1,0,0,1,2,2
01-C4-DIN-8ESW-E,(UND) 8-PORT ETHERNET SWITCH                  ,1,0,0,0,1,1
01-C4-DIN-8FPD-E,(UND) DIN RAIL 8 CHANNEL FORWARD PHASE DI,4,0,1,0,4,3
01-C4-DIN-8RELSW-E,(UND) MOD RELÉ ILUMINACION CENTRALIZADA ,0,7,6,0,0,-6
01-C4-DIN-8TV-E,(UND) DIMMER DE 8 CANALES A 10V         ,0,7,5,0,0,-5
01-C4-DIN-BEG-V2,(UND) BUS ETHERNET GATEWAY V2           ,1,2,2,0,1,-1
01-C4-DIN-BPS48,(UND) SUMINISTRO ELECTRICO BUS 48V      ,1,2,2,0,1,-1
01-C4-DIN-SC,(UND) PANEL SECURITY COVER PREVENTS ACCESS    ,0,0,0,0,0,0
01-C4-DIN-SF,(UND) RELLENO DE RANURA PLÁSTICO PAQ 2- ,0,0,0,0,0,0
01-C4-DIN-TB-8DIM,(UND) 8-CHANNEL DIMMER TERMINAL BLOC    ,1,7,6,0,1,-5
01-C4-DIN-TB-8REL-V2,(UND) 8-CHANNEL RELAY TERMINAL BLOCK VER,3,7,7,0,3,-4
01-C4-DIN-TB-PO,(UND) CONECTOR  MODULOS DE DIMMER 0-10V F 24V ,0,10,10,0,0,-10
01-C4-DS2BSMKP-BN,(UND) ESTACION DE PUERTA+TECLADO B/NIQUE,0,0,0,0,0,0
01-C4-DS2FM-BN,(UND) (B/NICKEL) ESTACION PUERTA MONTAJE EMPOT,0,0,0,0,0,0
01-C4-DS2KP-BN,(UND) MÓDULO KEYPAD DS2                 ,0,0,0,0,0,0
01-C4-DS2MINIBB,(UND) CAJA DE EMPOTRAR PARA DS2 MINI          ,0,0,0,0,0,0
01-C4-DS2MINI-BL,(UND) MINI DOOR STATION BLACK           ,0,0,0,0,0,0
01-C4-DS2MINI-BN,(UND) MINI DOOR STATION BRUSHED NICKEL  ,1,0,0,0,1,1
01-C4-DS2MINIFP-BL,(UND) DS2 MINI SURFACE PLATE EMPOTRAR (B,0,0,0,0,0,0
01-C4-DS2MINIFP-BN,(UND) DS2 MINI SURFACE PLATE EMPOTRAR   ,2,0,0,0,2,2
01-C4-DS2MINISP-BL,(UND) DS2 MINI SURFACE PLATE (BLACK)    ,0,0,0,1,1,1
01-C4-DS2PLATE-BL,(UND) (BL) ADAPTADOR DE ESTACION DE PUER,0,0,0,0,0,0
01-C4-DS2SM-BN,(UND) (B/NICKEL) ESTACION PUERTA MONTAJE ,1,0,0,0,1,1
01-C4-DS2SMKP-BN,(UND) ESTACION PUERTA MONTAJE SUPERF + TECLADO,0,0,0,0,0,0
01-C4-DSBB-M,(UND) DOOR STATION METAL BACK BOX             ,0,0,0,0,0,0
01-C4-DSC-EN-BL,(UND) DOOR STATION (SATIN BLACK),0,0,0,0,0,0
01-C4-DSC-EN-SN,(UND) DOOR STATION (SATIN NICHEL)             ,0,0,0,0,0,0
01-C4-EA1,(UND) CONTROLADOR DE AUTOMATIZACIÓN EA1       ,0,0,0,0,0,0
01-C4-EA1-POE-V2,(UND) CONTROL EA1-POE-V2 PARA AUTOMATIZ  ,0,0,0,0,0,0
01-C4-EA1-POE-V2-RSK,(PAQ) CONTROL EA1 POE V2+SR260+RBATT+SRR,0,0,0,0,0,0
01-C4-EA1-POE-V2-SR,(PAQ) CONTROLADOR EA1 POE V2 + SR260    ,0,0,0,0,0,0
01-C4-EA1-V2,(UND) CONTROLADOR DE AUTOMATIZACIÓN EA1 ,19,98,80,0,19,-61
01-C4-EA1-V2-RSK,(PAQ) CONTROLADOR EA1 V2+ SR260+ RBATT +,0,0,1,0,0,-1
01-C4-EA1-V2-SR,(PAQ) CONTROLADOR EA1 V2 + CONTROL SR260,2,0,2,0,2,0
01-C4-EA3RMK1,(UND) KIT RACK DE 1 UR PARA EA3               ,1,0,0,0,1,1
01-C4-EA3-V2,(UND) CONTROLADOR DE AUTOMATIZACIÓN EA3 ,29,33,39,0,29,-10
01-C4-EA3-V2-RSK,(PAQ) CONTROLADOR EA3 V2+SR260+RBATT+SRR,0,0,0,0,0,0
01-C4-EA5-V2,(UND) CONTROLADOR DE AUTOMATIZACIÓN EA5 ,0,10,6,0,0,-6
01-C4-EA5-V2-RSK,(PAQ) CONTROLADOR EA5 V2+SR260+RBATT+SRR,0,0,0,0,0,0
01-C4-EBD1H-AU,(UND) ENGRAVED BUTTON DECORA SINGLE AU        ,0,0,0,0,0,0
01-C4-EBD1H-BL,(UND) ENGRAVED BUTTON DECORA SINGLE BLACK,6,0,0,0,6,6
01-C4-EBD1H-BR,(UND) ENGRAVED BUTTON DECORA SINGLE BR        ,0,0,0,0,0,0
01-C4-EBD1H-LA,(UND) ENGRAVED BUTTON DECORA SINGLE           ,0,0,0,0,0,0
01-C4-EBD1H-MB,(UND) ENGRAVED BUTTON DECORA SINGLE MIDNIGHT BLACK,9,0,10,0,9,-1
01-C4-EBD1H-SW,(UND) ENGRAVED BUTTON DECORA SINGLE SNOW WHITE,1,0,0,0,1,1
01-C4-EBD1H-WH,(UND) ENGRAVED BUTTON DECORA SINGLE WHITE,13,0,80,0,13,-67
01-C4-EBD2H-AU,(UND) ENGRAVED BUTTON DECORA DOUBLE AU        ,0,0,0,0,0,0
01-C4-EBD2H-BL,(UND) ENGRAVED BUTTON DECORA DOUBLE BLACK,0,0,0,0,0,0
01-C4-EBD2H-BR,(UND) ENGRAVED BUTTON DECORA DOBLE      ,0,0,0,0,0,0
01-C4-EBD2H-MB,(UND) ENGRAVED BUTTON DECORA DOUBLE           ,0,0,0,0,0,0
01-C4-EBD2H-SW,(UND) ENGRAVED BUTTON DECORA DOBLE            ,0,0,0,0,0,0
